rid	src_en	target_err	mt_de
1209	For tax years ending before 6 April 2025, employees may have elected to be taxed on the remittance basis.	NUM	Für Steuerjahre, die vor dem 6. April 2025 enden, haben sich Arbeitnehmer möglicherweise für die Besteuerung auf Überweisungsbasis entschieden.
1210	It will be illegal to own a ninja sword after 1 August 2025 unless a specific legal defence applies.	NUM	 Ab dem 1. August 2025 ist der Besitz eines Ninja-Schwerts illegal, sofern keine besondere rechtliche Verteidigung möglich ist.
1211	See previous page in CSUP for charting requirements - but I don't think that is relevant to the question.	SEN	 Informationen zu den Diagrammanforderungen finden Sie auf der vorherigen Seite im CSUP. Ich glaube jedoch nicht, dass dies für die Frage relevant ist.
1212	What the intent of the order was is not in question and neither is how it will be executed.	SEN	 Die Absicht des Befehls steht außer Frage, ebenso wenig wie die Art und Weise seiner Ausführung.
1213	If I try to turn it, it turns a little in both directions but nothing seems to be moving.	SEN	 Wenn ich versuche, es zu drehen, dreht es sich ein wenig in beide Richtungen, aber es scheint sich nichts zu bewegen.
1214	To address this, I’ve been trying to speak up more, even when I’m not fully confident in my responses.	SEN	 Um dem entgegenzuwirken, habe ich versucht, mich mehr zu äußern, auch wenn ich mir meiner Antworten nicht ganz sicher bin.
1215	However, I worry that my contributions might not always add value and that my questions might seem too obvious.	SEN	 Ich mache mir jedoch Sorgen, dass meine Beiträge nicht immer einen Mehrwert bieten und meine Fragen zu offensichtlich erscheinen könnten.
1216	The light on the wall button goes off and might not come back on for a minute or two.	SEN	 Das Licht am Wandschalter geht aus und geht möglicherweise ein oder zwei Minuten lang nicht wieder an.
1217	However, I'm not sure whether it is legal or appropriate to continue staying without having received their explicit permission.	SEN	 Ich bin mir jedoch nicht sicher, ob es legal oder angemessen ist, weiterhin zu bleiben, ohne ihre ausdrückliche Erlaubnis eingeholt zu haben.
1218	I've actually heard that some employees who she didn't work with are trying to get in touch with her.	SEN	Ich habe tatsächlich gehört, dass einige Mitarbeiter, mit denen sie nicht zusammengearbeitet hat, versuchen, mit ihr Kontakt aufzunehmen.
1219	Is it possible to buy a seat (after random allocation) online and not queue at the airport check in?	SEN	 Ist es möglich, einen Sitzplatz (nach zufälliger Zuteilung) online zu kaufen und sich beim Check-in am Flughafen nicht anzustellen?
1220	Thus, the students couldn't understand exactly well, but they were helpless because of the way they have been controlling.	SEN	 Die Schüler konnten es also nicht genau verstehen, waren aber aufgrund der Art und Weise, wie sie kontrolliert wurden, hilflos.
1221	I have no contract and no job description, no guidance on how to do my job or their expectations.	SEN	 Ich habe keinen Vertrag und keine Stellenbeschreibung, keine Anleitung zur Ausführung meiner Arbeit oder zu den Erwartungen, die sie an mich haben.
1222	I’m a bit concerned about whether this is legitimate, especially since there’s not much information online about the company.	SEN	 Ich bin etwas besorgt, ob das seriös ist, vor allem, weil es online nicht viele Informationen über das Unternehmen gibt.
1223	My old barn, probably not painted since it was built more than a decade earlier, had badly weathered paint.	SEN	 Meine alte Scheune, die wahrscheinlich nicht gestrichen wurde, da sie vor über einem Jahrzehnt gebaut wurde, hatte stark verwitterte Farbe.
1224	I have seen something which says to check the latch but I'm not really sure how to do that.	SEN	 Ich habe etwas gesehen, wo steht, dass man den Riegel überprüfen soll, aber ich bin nicht wirklich sicher, wie das geht.
1225	I want to know the real identity of this woman and whether or not we can trust her claims	SEN	 Ich möchte die wahre Identität dieser Frau erfahren und wissen, ob wir ihren Behauptungen trauen können oder nicht.
1226	When I questioned why I wasn't notified, he simply shrugged it off that the system sometimes doesn't do so.	SEN	 Als ich fragte, warum ich nicht benachrichtigt wurde, tat er es einfach mit den Worten ab, dass das System dies manchmal nicht tue.
1227	"There's a couple of areas I plan to use 1x4"" boards that do not need to look especially pretty."	SEN	Es gibt einige Bereiche, in denen ich 1x4-Zoll-Bretter verwenden möchte, die nicht besonders hübsch aussehen müssen.
1228	I think the string is really needed, because it goes into the nut threads, which the felt doesn't do.	SEN	 Ich denke, die Saite ist wirklich notwendig, weil sie in das Gewinde des Sattels passt, was beim Filz nicht der Fall ist.
1229	We have no drain in the floor in there so we can’t put a dehumidifier with a fixed drain.	SEN	 Wir haben dort keinen Abfluss im Boden, daher können wir keinen Luftentfeuchter mit festem Abfluss aufstellen.
1230	On the one hand they might not eat swine; but on the other hand they might not kill them.	SEN	 Einerseits essen sie vielleicht keine Schweine, andererseits töten sie sie vielleicht auch nicht.
1231	As everyone knows, it's not a nice feeling when you've worked very hard on something and somebody steals it.	SEN	 Wie jeder weiß, ist es kein schönes Gefühl, wenn man sehr hart an etwas gearbeitet hat und es dann jemand stiehlt.
1232	I heard you can refurbish it, but I can't find much info on how without part numbers, etc. Eaten?	SEN	 Ich habe gehört, dass man es wiederaufbereiten kann, aber ich kann ohne Teilenummern usw. nicht viele Informationen dazu finden. Gefressen?
1233	But I can't believe you can get from that trench to those rapids with any reasonable body of water	SEN	 Aber ich kann nicht glauben, dass man mit einem vernünftigen Gewässer von diesem Graben zu diesen Stromschnellen gelangen kann
1234	I hope they return before my checkout date, but I need to know what to do if they don't.	SEN	 Ich hoffe, dass sie vor meinem Abreisedatum zurückkommen, aber ich muss wissen, was zu tun ist, wenn dies nicht der Fall ist.
1235	Maybe for some reason they may not even be allowed to call me, but that seems unlikely to me.	SEN	 Vielleicht dürfen sie mich aus irgendeinem Grund nicht einmal anrufen, aber das erscheint mir unwahrscheinlich.
1236	I cannot understand if any of these are grounded, have neutral wires, or even what is wired to what.	SEN	Ich kann nicht verstehen, ob eines davon geerdet ist, Neutralleiter hat oder überhaupt, was mit was verdrahtet ist.
1237	If (as I suspect) there is no good evidence, what is the earliest source that makes this false attribution?	SEN	 Wenn (wie ich vermute) keine guten Beweise vorliegen, welche ist dann die früheste Quelle, die diese falsche Zuschreibung vornimmt?
1238	In my case this was possible but I still don't know what would happen if two passports are required	SEN	 In meinem Fall war dies möglich, aber ich weiß immer noch nicht, was passieren würde, wenn zwei Pässe erforderlich wären
1239	I do have a basin wrench and a strap wrench for the bell so as not to damage it.	SEN	 Ich habe einen Beckenschlüssel und einen Bandschlüssel für die Glocke, um sie nicht zu beschädigen.
1240	I will note I have not touched the any of this since buying the house a few years ago.	SEN	 Ich möchte darauf hinweisen, dass ich seit dem Kauf des Hauses vor einigen Jahren nichts davon angerührt habe.
1241	On the last day of my work, I returned the laptop, and unfortunately, I didn't ask for a receipt.	SEN	 An meinem letzten Arbeitstag habe ich den Laptop zurückgegeben und leider keine Quittung verlangt.
1242	"I don't know if this is correct or if I should wait till I can see the ""researcher"" sub-category."	SEN	 Ich weiß nicht, ob das richtig ist oder ob ich warten sollte, bis ich die Unterkategorie „Forscher“ sehen kann.
1243	I don’t know what I would have done if neither of the hosts had returned by the checkout date.	SEN	 Ich weiß nicht, was ich getan hätte, wenn keiner der Gastgeber bis zum Abreisedatum zurückgekehrt wäre.
1244	"He also said how the company ""does not need evidence"" to terminate me because it was not a ""court""."	SEN	 Er sagte auch, dass das Unternehmen „keine Beweise“ brauche, um mich zu entlassen, weil es kein „Gericht“ gewesen sei.
1245	This is probably a bad idea, because if it wasn't, then I'm sure someone would have suggested it already.	SEN	Das ist wahrscheinlich eine schlechte Idee, denn wenn es das nicht wäre, dann bin ich sicher, dass es schon jemand vorgeschlagen hätte.
1246	It may have nothing to do with it, but I'll mention it just in case it may be relevant.	SEN	 Es hat vielleicht nichts damit zu tun, aber ich erwähne es trotzdem, falls es relevant sein könnte.
1247	Furthermore, this does not fall in or replace my regular day to day working hours; sometimes it is overtime.	SEN	 Darüber hinaus fällt dies nicht in meine reguläre tägliche Arbeitszeit und ersetzt diese auch nicht; manchmal handelt es sich um Überstunden.
1248	Some also accommodate tents, but you have to check each one separately, and the information is not always available.	SEN	 Einige bieten auch Platz für Zelte, aber das muss bei jedem einzeln überprüft werden und die Informationen sind nicht immer verfügbar.
1249	"(Obviously, it's relatively easy to ""find which breaker"" when the outlets are working, but these two are not working.)"	SEN	 (Natürlich ist es relativ einfach, „herauszufinden, welcher Unterbrecher“ es ist, wenn die Steckdosen funktionieren, diese beiden aber nicht funktionieren.)
1250	I didn't meet the expectations that are set by the company for all newcomers at the position I had.	SEN	 Ich habe die Erwartungen, die das Unternehmen an alle Neulinge in meiner Position stellt, nicht erfüllt.
1251	My landlord painted over scraps of wallpaper and now I want to repaint and not see the wallpaper underneath.	SEN	 Mein Vermieter hat Tapetenreste überstrichen und jetzt möchte ich neu streichen, ohne dass die Tapete darunter zu sehen ist.
1252	There is this guy who is not actually my boss, although I could say he is hierarchically above me.	SEN	 Da ist dieser Typ, der eigentlich nicht mein Chef ist, obwohl ich sagen könnte, dass er hierarchisch über mir steht.
1253	I just received my newly reissued passport under tatkaal scheme that does not have the first page stuck properly.	SEN	Ich habe gerade meinen neu ausgestellten Reisepass im Rahmen des Tatkaal-Programms erhalten, bei dem die erste Seite nicht richtig eingeklebt ist.
1254	It looks to me like there is a single phase wire and no neutral, just a smaller ground wire.	SEN	 Für mich sieht es so aus, als ob es einen einphasigen Draht und keinen Neutralleiter gibt, nur einen kleineren Erdungsdraht.
1255	After a half-an-hour conversation with no progress, I exited the post-screening area and went to the ticket sales area.	SEN	 Nach einem halbstündigen Gespräch ohne Ergebnis verließ ich den Nachvorführungsbereich und ging zum Ticketverkaufsbereich.
1256	We even checked the alignment of the brake lines to ensure they weren't pulling the calipers out of position.	SEN	 Wir haben sogar die Ausrichtung der Bremsleitungen überprüft, um sicherzustellen, dass sie die Bremssättel nicht aus ihrer Position ziehen.
1257	I repeated that I would rather not, and he said, fine, and left without going into the back yard.	SEN	 Ich wiederholte, dass ich das lieber nicht tun würde, und er sagte, gut, und ging, ohne in den Hinterhof zu gehen.
1258	(BTW, we don't require employees to not use social media at all during office time as that is impossible.)	SEN	 (Übrigens verlangen wir von unseren Mitarbeitern nicht, während der Bürozeit überhaupt keine sozialen Medien zu nutzen, da dies unmöglich ist.)
1259	How to perform drag force/local skin friction drag coefficient calculations for something that is *not* a rectangular flat plate?.	SEN	 Wie berechnet man den Widerstandskraft-/lokalen Reibungskoeffizienten für etwas, das *keine* rechteckige flache Platte ist?
1260	I can't determine if there is a specific fan that I can install to have it exhaust the attic?	SEN	 Ich kann nicht feststellen, ob es einen bestimmten Ventilator gibt, den ich installieren kann, um den Dachboden abzusaugen?
1261	Is it mostly to facilitate a quick delivery and setup, or is there no need from a structural perspective?	SEN	Dient es vor allem der schnellen Lieferung und Einrichtung oder besteht aus baulicher Sicht kein Bedarf?
1262	I prefer the gravity drain even though it's more work, but not if it's going to compromise the wall.	SEN	 Ich bevorzuge den Schwerkraftablauf, auch wenn er mehr Arbeit macht, aber nicht, wenn dadurch die Wand beschädigt wird.
